,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""moyses zacharias""",2023-09-13,O Malho (RJ) - 1902 - 1953,1908,91,15,116300_11226.jpg,http://memoria.bn.br/docreader/116300/11226
1,"""moyses zacharias""",2023-09-13,O Malho (RJ) - 1902 - 1953,1911,54,20,116300_18886.jpg,http://memoria.bn.br/docreader/116300/18886
2,"""moyses zacharias""",2023-09-13,Correio da Manhã (RJ) - 1910 a 1919,1910,112,3,089842_02_213.jpg,http://memoria.bn.br/docreader/089842_02/213
3,"""moyses zacharias""",2023-09-13,Correio da Manhã (RJ) - 1910 a 1919,1910,125,2,089842_02_332.jpg,http://memoria.bn.br/docreader/089842_02/332
4,"""moyses zacharias""",2023-09-13,Correio da Manhã (RJ) - 1910 a 1919,1910,140,4,089842_02_462.jpg,http://memoria.bn.br/docreader/089842_02/462
5,"""moyses zacharias""",2023-09-13,Correio da Manhã (RJ) - 1910 a 1919,1910,143,1,089842_02_491.jpg,http://memoria.bn.br/docreader/089842_02/491
6,"""moyses zacharias""",2023-09-13,Correio da Manhã (RJ) - 1910 a 1919,1911,575,3,089842_02_4730.jpg,http://memoria.bn.br/docreader/089842_02/4730
7,"""moyses zacharias""",2023-09-13,Correio da Manhã (RJ) - 1910 a 1919,1911,586,3,089842_02_4844.jpg,http://memoria.bn.br/docreader/089842_02/4844
8,"""moyses zacharias""",2023-09-13,Correio da Manhã (RJ) - 1910 a 1919,1916,194,3,089842_02_26864.jpg,http://memoria.bn.br/docreader/089842_02/26864
9,"""moyses zacharias""",2023-09-13,Gazeta de Noticias (RJ) - 1900 a 1919,1904,111,2,103730_04_7508.jpg,http://memoria.bn.br/docreader/103730_04/7508
10,"""moyses zacharias""",2023-09-13,Gazeta de Noticias (RJ) - 1900 a 1919,1905,186,3,103730_04_10048.jpg,http://memoria.bn.br/docreader/103730_04/10048
11,"""moyses zacharias""",2023-09-13,Gazeta de Noticias (RJ) - 1900 a 1919,1905,197,9,103730_04_10120.jpg,http://memoria.bn.br/docreader/103730_04/10120
12,"""moyses zacharias""",2023-09-13,Gazeta de Noticias (RJ) - 1900 a 1919,1905,317,2,103730_04_10916.jpg,http://memoria.bn.br/docreader/103730_04/10916
13,"""moyses zacharias""",2023-09-13,Gazeta de Noticias (RJ) - 1900 a 1919,1909,250,1,103730_04_20770.jpg,http://memoria.bn.br/docreader/103730_04/20770
14,"""moyses zacharias""",2023-09-13,Gazeta de Noticias (RJ) - 1900 a 1919,1909,301,6,103730_04_21230.jpg,http://memoria.bn.br/docreader/103730_04/21230
15,"""moyses zacharias""",2023-09-13,Gazeta de Noticias (RJ) - 1900 a 1919,1909,316,2,103730_04_21384.jpg,http://memoria.bn.br/docreader/103730_04/21384
16,"""moyses zacharias""",2023-09-13,Gazeta de Noticias (RJ) - 1900 a 1919,1909,351,4,103730_04_21744.jpg,http://memoria.bn.br/docreader/103730_04/21744
17,"""moyses zacharias""",2023-09-13,Gazeta de Noticias (RJ) - 1900 a 1919,1910,122,2,103730_04_23045.jpg,http://memoria.bn.br/docreader/103730_04/23045
18,"""moyses zacharias""",2023-09-13,Gazeta de Noticias (RJ) - 1900 a 1919,1911,128,2,103730_04_26753.jpg,http://memoria.bn.br/docreader/103730_04/26753
19,"""moyses zacharias""",2023-09-13,Gazeta de Noticias (RJ) - 1900 a 1919,1911,131,4,103730_04_26785.jpg,http://memoria.bn.br/docreader/103730_04/26785
20,"""moyses zacharias""",2023-09-13,Gazeta de Noticias (RJ) - 1900 a 1919,1911,202,2,103730_04_27427.jpg,http://memoria.bn.br/docreader/103730_04/27427
21,"""moyses zacharias""",2023-09-13,Gazeta de Noticias (RJ) - 1900 a 1919,1916,73,3,103730_04_37376.jpg,http://memoria.bn.br/docreader/103730_04/37376
22,"""moyses zacharias""",2023-09-13,O Seculo (RJ) - 1906 a 1916,1907,332,3,224782_1323.jpg,http://memoria.bn.br/docreader/224782/1323
23,"""moyses zacharias""",2023-09-13,O Seculo (RJ) - 1906 a 1916,1909,932,1,224782_3753.jpg,http://memoria.bn.br/docreader/224782/3753
24,"""moyses zacharias""",2023-09-13,O Seculo (RJ) - 1906 a 1916,1909,932,2,224782_3754.jpg,http://memoria.bn.br/docreader/224782/3754
25,"""moyses zacharias""",2023-09-13,O Seculo (RJ) - 1906 a 1916,1911,448,2,224782_5720.jpg,http://memoria.bn.br/docreader/224782/5720
26,"""moyses zacharias""",2023-09-13,O Seculo (RJ) - 1906 a 1916,1915,594,3,224782_9993.jpg,http://memoria.bn.br/docreader/224782/9993
27,"""moyses zacharias""",2023-09-13,Correio da Manhã (RJ) - 1920 a 1929,1920,783,7,089842_03_2194.jpg,http://memoria.bn.br/docreader/089842_03/2194
28,"""moyses zacharias""",2023-09-13,Correio da Manhã (RJ) - 1920 a 1929,1922,378,4,089842_03_9406.jpg,http://memoria.bn.br/docreader/089842_03/9406
29,"""moyses zacharias""",2023-09-13,A Noite (RJ) - 1911 a 1919,1916,485,2,348970_01_8002.jpg,http://memoria.bn.br/docreader/348970_01/8002
30,"""moyses zacharias""",2023-09-13,O Imparcial (RJ) - 1920 a 1929,1922,503,5,107670_02_9392.jpg,http://memoria.bn.br/docreader/107670_02/9392
31,"""moyses zacharias""",2023-09-13,O Imparcial (RJ) - 1920 a 1929,1923,562,10,107670_02_13421.jpg,http://memoria.bn.br/docreader/107670_02/13421
32,"""moyses zacharias""",2023-09-13,Jornal do Commercio (RJ) - 1970 a 1979,1977,298,18,nan,http://memoria.bn.br/docreader/364568_16/51379
33,"""moyses zacharias""",2023-09-13,Jornal do Brasil (RJ) - 1900 a 1909,1908,109,5,nan,http://memoria.bn.br/docreader/030015_02/26186
34,"""moyses zacharias""",2023-09-13,Jornal do Brasil (RJ) - 1900 a 1909,1909,299,8,nan,http://memoria.bn.br/docreader/030015_02/35052
